,claims,results,runtime_seconds,mean_cpu_pct,peak_cpu_pct,mean_ram_gb,peak_ram_gb,mean_gpu_pct,peak_gpu_pct,mean_gpu_gb,peak_gpu_gb,total_runtime_seconds
bm25,500.0,50000.0,15782.771583499984,4.15546072784537,4.291666666666667,3.5601916284780875,7.165081024169922,0.0,0.0,0.0,0.0,
dense,500.0,50000.0,168155.1850649,5.73810733134454,22.183333333333334,14.053951926396094,21.212570190429688,93.78216159246402,99.0,0.6540061022017951,7.227836608886719,
hybrid,500.0,50000.0,5.981969100015704,,,,,,,,,183943.9386175
cross_encoder,500.0,10000.0,27.709340600005817,6.028273809523809,8.716666666666667,1.433736937386649,1.4440193176269531,51.642857142857146,69.0,0.24603472437177384,0.2944297790527344,183971.64795810002
